ebm Rew Mean,ebm Rew Std,ebm Rew Max,ebm Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
-7.2637753,15.826039,0.049999997,-64.85849,10.0,67012844.0,67012868.0,0.078498565,-0.1763737,-0.00884258,0.0042215525,0.002500638,-0.023352467,-0.002304383,0.0033718029,0.0045040864,-0.009916421,0.048157178,0.02097703,0.10549377,0.0032682524,-0.18529141,0.37393704,0.9882593,-0.89367044,-0.0015655154,0.0042747515,0.005428766,-0.01392276,-0.0004900509,0.007394773,0.013122299,-0.020112032,1.1289664257126972,0.4428799102357884,3.2011122910357726,0.39360603723841064,1128.9664257126972,0.9554762955643072,1130.9717118433798,1127.248964785507,0.63094246,0.45359847,0.982761,-0.9932378,1000.0,0.0,1000,1000,100,1.0427225455622786,0.4961031474561518,3.723769764103655,-1.8733495658294568,1042.7225455622786,148.16040878658714,1465.9905940688336,688.4363411591141,0.55067855,0.5988847,0.999939,-0.9991562,1000.0,0.0,1000,1000,1128.9664257126972,96,100000,100,247.88947090040892,0,195.33326707035303,443.22273797076195,471.283879945986,0
-2.1889648,24.853073,0.049999993,-438.67914,10.0,12098.71,12103.777,54.96984,3184.433,-3183.3496,852.8578,-92.79745,-5117.2383,-3182.2136,852.0676,-113.4865,-5120.4673,-3176.9602,849.6291,-111.332634,-5078.1313,5.620429,1.9797846,9.227783,-0.6191144,0.99000436,1.3315513,2.1368241,-2.0469637,-0.7177755,0.2904641,-0.47253776,-2.4827008,0.9295207384287776,0.5456574019162156,3.4159713346091665,-1.0294735698563289,929.5207384287775,150.13643310389273,1157.7523816689866,776.2546421623671,0.34107828,0.6827919,0.99973243,-0.99859715,1000.0,0.0,1000,1000,100,1.1194182064997351,0.47411205043247806,4.685016467625141,-2.6119218051986772,1119.4182064997353,95.86439866200355,1241.5042873675839,823.1148842917308,0.30587012,0.59614056,1.0,-1.0,1000.0,0.0,1000,1000,929.5207384287775,196,200000,200,256.68776617757976,28.077188379131258,204.89862513868138,489.6635796953924,960.0835095848888,1
-0.1023816,0.26632148,0.05,-1.9728806,10.0,21810.244,22015.06,376.8732,1329.7161,-1330.7349,3087.6575,-166.55103,-17044.809,-1328.3909,3087.198,-145.2573,-17045.271,-1326.7008,3082.862,-150.98996,-17002.73,4.3954153,2.5490093,18.63786,-0.94514745,0.31578654,0.96699107,3.4615896,-6.8648057,-1.5303324,0.5398877,1.3750921,-2.6080017,0.9869760923979917,0.05912016128248128,1.0170781000905382,0.46253586997675844,986.9760923979915,0.7147573794777967,988.171725038557,985.8726357806868,0.27880487,0.2860903,0.90458626,-0.88393384,1000.0,0.0,1000,1000,100,0.9624319627880846,0.4549984483013685,5.308513488723966,-2.376709801004493,962.4319627880847,125.67755597013968,1364.724319876353,762.5278952904629,0.2675373,0.5890353,1.0,-1.0,1000.0,0.0,1000,1000,986.9760923979915,296,300000,300,258.47328161727637,27.2084197900258,203.76596359768882,489.447665004991,1451.657822205685,2
-0.03003324,0.13951908,0.05,-1.6094517,10.0,33.684696,29.007483,4.208676,159.81708,-156.88821,21.957355,-109.91705,-382.26013,-156.87726,21.932392,-110.80891,-374.6794,-158.44801,22.110594,-109.43357,-385.8362,3.5344474,1.3015049,5.277086,-2.8603752,0.49727854,0.37113008,1.7312546,-1.3731631,-1.6429514,0.38794076,-0.8609458,-2.3082075,0.9903186974719973,0.06605683312221187,1.2259831406111983,0.4607393031950595,990.3186974719971,0.6247870810358082,991.4074148654964,988.8708660041352,0.37374473,0.30137643,0.79613256,-0.87004673,1000.0,0.0,1000,1000,100,0.9893746836537987,0.11323174477472442,3.0685921815284747,-0.10207324668681807,989.3746836537986,20.177142073485104,1189.5173775507571,981.1045479564604,0.3617777,0.41412428,1.0,-0.999936,1000.0,0.0,1000,1000,990.3186974719971,396,400000,400,259.38758121803403,29.373377812094986,210.94787411624566,499.7088331463747,1950.4464229037985,3
-0.017647292,0.119454436,0.049999982,-1.6192629,10.0,11.321765,10.726225,2.8571985,178.41847,-176.14969,14.528274,-99.58048,-284.74475,-176.51259,14.533231,-99.56291,-284.59796,-179.89966,14.443723,-105.66012,-291.77713,2.2784276,1.2349229,5.3545237,-2.6572263,0.6383689,0.4066801,1.3563172,-0.7836082,-1.0177226,0.29622003,-0.42010507,-2.0312548,0.9905504749103938,0.05843479895335424,1.1453248422849585,0.5181469750157064,990.5504749103936,0.7412884141394612,991.9000475134818,989.2209603685761,0.41912234,0.2886495,0.8565142,-0.8745075,1000.0,0.0,1000,1000,100,0.985894731245962,0.12143349023447832,1.509946303454003,-1.0785762920690338,985.8947312459619,25.206132808645563,1000.3041889489405,769.9032028098957,0.3413444,0.4625086,0.99968606,-0.9999103,1000.0,0.0,1000,1000,990.5504749103936,496,500000,500,257.07052179565653,28.4151831259951,201.96697330614552,487.45267822779715,2438.6752282520756,4
0.004632329,0.082227305,0.05,-0.73019207,10.0,7.627312,5.568959,4.732122,200.72038,-198.82855,17.734322,-187.63368,-404.31702,-198.9376,17.815157,-187.7295,-406.86423,-200.10074,19.043074,-185.7291,-429.1373,1.5630193,1.4242177,10.239417,-2.9333894,0.48924437,0.47464955,2.6352642,-1.7519975,-0.741864,0.21248087,-0.31842586,-2.094777,0.9964792353792292,0.035151952329114666,1.1223421184178088,0.6078186523046869,996.4792353792293,0.6678802754385204,997.8423192336031,995.5439226880297,0.3106334,0.22185963,0.7465418,-0.6064197,1000.0,0.0,1000,1000,100,0.9888983968839913,0.10330016285442614,1.2751936826093093,-1.1450075155975157,988.8983968839909,30.58403151275238,995.9874583360319,685.190209490418,0.30755612,0.4658447,1.0,-0.99831015,1000.0,0.0,1000,1000,996.4792353792293,596,600000,600,254.3051122543402,29.192042712122202,197.74496185872704,481.24211682518944,2920.8979463349096,5
-0.026054384,0.11689442,0.05,-1.0334922,10.0,21.134544,8.887952,41.52393,208.1668,-207.25798,5.3231683,-195.73694,-255.88675,-204.80441,5.251785,-193.85423,-252.0063,-199.20557,5.559784,-184.38673,-248.83868,0.8438863,1.1392524,4.785595,-3.880421,0.30354762,0.37471887,1.0967637,-1.4742342,-0.69179726,0.28786942,-0.29482418,-1.9469249,1.0187224441611058,0.059542239863134866,1.5192188124456065,0.9999209498730054,1018.7224441611063,0.5260619332814003,1019.8111949153307,1017.4558044959924,0.07714284,0.16140978,0.9278047,-0.6178525,1000.0,0.0,1000,1000,100,0.9738600811046595,0.2330319502828709,1.622515266636564,-1.1674640865602701,973.8600811046593,75.31451100415302,1033.8391580851405,772.7273180043778,0.24698292,0.50288963,1.0,-1.0,1000.0,0.0,1000,1000,1018.7224441611063,696,700000,700,261.0828540995717,30.17895093606785,206.4308770261705,497.69268206181005,3424.715157474391,6
-0.022037044,0.11701164,0.05,-0.9362081,10.0,25.542398,26.079905,8.800555,266.9973,-265.2799,31.03832,-157.54398,-348.3832,-265.2526,30.864206,-159.24,-348.95514,-267.51184,31.641542,-173.3695,-379.7527,2.3467321,1.2483039,6.6210914,-1.3504272,0.20992793,0.44663528,1.5642455,-1.8083664,-1.2580631,0.53988165,-0.39601654,-2.6142707,1.0363100676109331,0.09187636818213643,1.5980029268618066,0.9806134489154752,1036.310067610933,0.7220369472006143,1037.6298661014325,1035.1399752174568,0.11944369,0.24447848,0.9736674,-0.63188016,1000.0,0.0,1000,1000,100,1.025006499947271,0.1219939842747971,1.7549297977083274,-1.078213146125645,1025.0064999472709,35.26841882290326,1043.3909431286513,696.1337697019812,0.0613256,0.43040565,1.0,-1.0,1000.0,0.0,1000,1000,1036.310067610933,796,800000,800,258.6582023827359,36.30091645382345,199.66226956201717,494.6213883985765,3910.8852373505943,7
-0.03463504,0.15310527,0.049999997,-1.284707,10.0,2.851217,6.2242265,7.049942,328.35855,-324.9648,32.44585,-165.63614,-354.2838,-326.82812,32.623695,-166.13159,-355.7472,-324.7943,32.61392,-164.23685,-362.89734,1.2776508,1.0117491,4.6012883,-2.3337522,0.06300145,0.42859462,1.7296321,-2.4524677,-0.92188174,0.31042722,-0.39340436,-1.7139187,1.025664574468513,0.0954317816514792,1.718146991921855,0.8971458713901478,1025.6645744685127,0.5950365303899684,1026.7776090564457,1024.8142021517106,0.1659555,0.28727925,0.8936574,-0.41127542,1000.0,0.0,1000,1000,100,1.0395942021845443,0.12631712133787096,1.7907160588727626,0.5179085108522882,1039.5942021845444,3.985870508341849,1048.1025579903928,1025.9788633203018,0.07120856,0.49202043,0.9974543,-0.9997662,1000.0,0.0,1000,1000,1025.6645744685127,896,900000,900,252.07182425400242,27.857527277898043,197.18144878791645,477.1108003198169,4387.433754874859,8
-0.026230214,0.13828151,0.049999982,-0.9886541,10.0,2.82545,12.554179,4.226227,288.54382,-287.84418,20.221914,-198.8951,-318.8234,-282.19672,20.22469,-192.07228,-312.00012,-291.26263,19.957924,-204.45522,-320.39578,0.8414179,1.0228267,4.2184553,-2.3234289,0.086440444,0.43615097,1.1940807,-1.3851446,-0.61804694,0.27354836,-0.2062337,-1.5163097,1.0307259022359883,0.08830405246095457,1.5326908572214406,0.9877305720737534,1030.725902235988,0.604355842095748,1031.834912559468,1029.56210575791,0.091743894,0.19147515,0.7473757,-0.24759278,1000.0,0.0,1000,1000,100,1.0323838488525119,0.16950857136939385,1.8755740210959098,0.3214529253272136,1032.383848852512,3.8865812924329535,1044.158773405176,1020.6461250003872,0.07804986,0.5338426,0.9987985,-0.99815756,1000.0,0.0,1000,1000,1030.725902235988,996,1000000,1000,254.58945338241756,27.288100530859083,192.2253535008058,474.10290741408244,4864.104206404183,9
